region,Technology,Resource_Type,Existing_Cap_MW,Cap_Size,CapRes,Commit,cluster,Down_Time,DR,Eff_Down,Eff_Up,ESR_1,ESR_2,ESR_3,Existing_Cap_MWh,Existing_Charge_Cap_MW,Fixed_OM_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fuel,Heat_Rate_MMBTU_per_MWh,HYDRO,Hydro_Energy_to_Power_Ratio,Hydro_level,Inv_Cost_Charge_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_per_MWyr,LDS,MaxCapTag,MaxCapTag_1,MaxCapTag_2,MinCapTag,MinCapTag_1,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Max_Duration,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Min_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Min_Power,MUST_RUN,New_Build,Num_VRE_Bins,plant_inv_cost_mwyr,Ramp_Dn_Percentage,Ramp_Up_Percentage,Ratio_power_to_energy,Reg_Cost,Reg_Max,Rsv_Max,Resource,RPS,Rsv_Cost,Self_Disch,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,STOR,THERM,Up_Time,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE,Zone,FLEX,RETRO
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,276,46.033,0.9,1,30,1,0,1,1,0,0,0,0,0,0,0,14360.88,NG,10.642,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.55,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_14,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,84,84,0.9,1,31,1,0,1,1,0,0,0,0,0,0,0,14360.88,NG,14.648,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_15,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Steam Turbine,Natural Gas Steam Turbine,825,412.5,0.9,1,32,24,0,0,0,0,0,0,0,0,0,0,27504.88,NG,12.444,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.145,0,0,0,0,0.57,0.57,0,0,0.3,0.3,natural_gas_steam_turbine,0,0,0,85,13.7,0,1,24,1.08544,0,0,1,0,0
TX,Natural Gas Steam Turbine,Natural Gas Steam Turbine,521,173.733,0.9,1,33,24,0,0,0,0,0,0,0,0,0,0,52762.56,NG,12.913,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.261,0,0,0,0,0.57,0.57,0,0,0.3,0.3,natural_gas_steam_turbine_1,0,0,0,85,13.7,0,1,24,1.08544,0,0,1,0,0
TX,Natural Gas Steam Turbine,Natural Gas Steam Turbine,18,17.5,0.9,1,34,24,0,0,0,0,0,0,0,0,0,0,52762.56,NG,19.384,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.571,0,0,0,0,0.57,0.57,0,0,0.3,0.3,natural_gas_steam_turbine_2,0,0,0,85,13.7,0,1,24,1.08544,0,0,1,0,0
TX,Natural Gas Steam Turbine,Natural Gas Steam Turbine,1326,331.5,0.9,1,35,24,0,0,0,0,0,0,0,0,0,0,32087.26,NG,12.286,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.185,0,0,0,0,0.57,0.57,0,0,0.3,0.3,natural_gas_steam_turbine_3,0,0,0,85,13.7,0,1,24,1.08544,0,0,1,0,0
TX,Natural Gas Steam Turbine,Natural Gas Steam Turbine,167,167,0.9,1,36,24,0,0,0,0,0,0,0,0,0,0,32087.26,NG,15.51,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0.57,0.57,0,0,0.3,0.3,natural_gas_steam_turbine_4,0,0,0,85,13.7,0,1,24,1.08544,0,0,1,0,0
TX,Natural Gas Steam Turbine,Natural Gas Steam Turbine,171,85.5,0.9,1,37,24,0,0,0,0,0,0,0,0,0,0,52762.56,NG,15.396,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.129,0,0,0,0,0.57,0.57,0,0,0.3,0.3,natural_gas_steam_turbine_5,0,0,0,85,13.7,0,1,24,1.08544,0,0,1,0,0
TX,Natural Gas Steam Turbine,Natural Gas Steam Turbine,2160,360,0.9,1,38,24,0,0,0,0,0,0,0,0,0,0,32087.26,NG,11.507,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0.57,0.57,0,0,0.3,0.3,natural_gas_steam_turbine_6,0,0,0,85,13.7,0,1,24,1.08544,0,0,1,0,0
TX,Natural Gas Steam Turbine,Natural Gas Steam Turbine,1265,421.667,0.9,1,39,24,0,0,0,0,0,0,0,0,0,0,27504.88,NG,13.737,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.229,0,0,0,0,0.57,0.57,0,0,0.3,0.3,natural_gas_steam_turbine_7,0,0,0,85,13.7,0,1,24,1.08544,0,0,1,0,0
